HGNC	Tissue
PSEN1	salivary gland
PSEN1	seminal vesicle
PSEN1	cerebellum
PSEN1	cerebellum
PSEN1	cerebral cortex
PSEN1	cerebral cortex
PSEN1	cerebral cortex
PSEN1	cerebral cortex
PSEN1	cervix, uterine
PSEN1	cervix, uterine
PSEN1	soft tissue 1
PSEN1	soft tissue 1
PSEN1	soft tissue 1
PSEN1	soft tissue 2
PSEN1	soft tissue 2
PSEN1	soft tissue 2
PSEN1	spleen
PSEN1	spleen
PSEN1	stomach 1
PSEN1	stomach 2
PSEN1	testis
PSEN1	testis
PSEN1	thyroid gland
PSEN1	parathyroid gland
PSEN1	kidney
PSEN1	lymph node
PSEN1	liver
PSEN1	lung
PSEN1	lung
PSEN1	bone marrow
PSEN1	lymph node
PSEN1	appendix
PSEN1	appendix
PSEN1	placenta
PSEN1	breast
PSEN1	breast
PSEN1	smooth muscle
PSEN1	duodenum
PSEN1	skeletal muscle
PSEN1	colon
PSEN1	colon
PSEN1	skin 1
PSEN1	skin 1
PSEN1	skin 1
PSEN1	skin 1
PSEN1	pancreas
PSEN1	endometrium 2
PSEN1	skin 2
PSEN1	small intestine
PSEN1	endometrium 2
PSEN1	vagina
PSEN1	endometrium 1
PSEN1	endometrium 1
PSEN1	pancreas
PSEN1	epididymis
PSEN1	esophagus
PSEN1	urinary bladder
PSEN1	nasopharynx
PSEN1	tonsil
PSEN1	ovary
PSEN1	oral mucosa
CTTN	cerebral cortex
CTTN	esophagus
CTTN	cervix, uterine
CTTN	gallbladder
CTTN	heart muscle
CTTN	hippocampus
CTTN	fallopian tube
CTTN	cerebral cortex
CTTN	cerebral cortex
CTTN	adrenal gland
CTTN	lymph node
CTTN	nasopharynx
CTTN	oral mucosa
CTTN	ovary
CTTN	ovary
CTTN	pancreas
CTTN	pancreas
CTTN	parathyroid gland
CTTN	caudate
CTTN	caudate
CTTN	cerebellum
CTTN	cerebellum
CTTN	cerebellum
CTTN	seminal vesicle
CTTN	cerebral cortex
CTTN	skeletal muscle
CTTN	skin 1
CTTN	cervix, uterine
CTTN	colon
CTTN	colon
CTTN	colon
CTTN	placenta
CTTN	placenta
CTTN	prostate
CTTN	rectum
CTTN	salivary gland
CTTN	epididymis
CTTN	soft tissue 2
CTTN	spleen
CTTN	spleen
CTTN	stomach 1
CTTN	stomach 2
CTTN	hippocampus
CTTN	kidney
CTTN	kidney
CTTN	liver
CTTN	liver
CTTN	lung
CTTN	lung
CTTN	lymph node
CTTN	soft tissue 1
CTTN	soft tissue 2
CTTN	soft tissue 2
CTTN	appendix
CTTN	appendix
CTTN	bone marrow
CTTN	breast
CTTN	breast
CTTN	breast
CTTN	bronchus
CTTN	endometrium 1
CTTN	endometrium 2
CTTN	endometrium 2
CTTN	vagina
CTTN	soft tissue 1
CTTN	skin 1
CTTN	skin 1
CTTN	duodenum
CTTN	skin 1
CTTN	tonsil
CTTN	tonsil
CTTN	urinary bladder
CTTN	endometrium 1
CTTN	tonsil
CTTN	testis
CTTN	testis
CTTN	soft tissue 1
CTTN	small intestine
CTTN	smooth muscle
CTTN	thyroid gland
CTTN	skin 2
CTTN	soft tissue 1
HDAC6	prostate
HDAC6	placenta
HDAC6	soft tissue 1
HDAC6	soft tissue 1
HDAC6	parathyroid gland
HDAC6	tonsil
HDAC6	soft tissue 1
HDAC6	soft tissue 1
HDAC6	tonsil
HDAC6	smooth muscle
HDAC6	urinary bladder
HDAC6	vagina
HDAC6	lung
HDAC6	rectum
HDAC6	appendix
HDAC6	appendix
HDAC6	bone marrow
HDAC6	skin 1
HDAC6	salivary gland
HDAC6	seminal vesicle
HDAC6	skeletal muscle
HDAC6	small intestine
HDAC6	adrenal gland
HDAC6	cerebral cortex
HDAC6	cerebral cortex
HDAC6	cervix, uterine
HDAC6	tonsil
HDAC6	soft tissue 2
HDAC6	soft tissue 2
HDAC6	spleen
HDAC6	spleen
HDAC6	skin 1
HDAC6	skin 1
HDAC6	skin 1
HDAC6	skin 2
HDAC6	cerebral cortex
HDAC6	testis
HDAC6	testis
HDAC6	thyroid gland
HDAC6	gallbladder
HDAC6	kidney
HDAC6	liver
HDAC6	liver
HDAC6	lung
HDAC6	caudate
HDAC6	lymph node
HDAC6	lymph node
HDAC6	nasopharynx
HDAC6	oral mucosa
HDAC6	ovary
HDAC6	pancreas
HDAC6	pancreas
HDAC6	bronchus
HDAC6	breast
HDAC6	breast
HDAC6	breast
HDAC6	cerebellum
HDAC6	colon
HDAC6	cerebellum
HDAC6	cerebellum
HDAC6	fallopian tube
HDAC6	cerebral cortex
HDAC6	stomach 2
HDAC6	esophagus
HDAC6	colon
HDAC6	colon
HDAC6	heart muscle
HDAC6	hippocampus
HDAC6	endometrium 1
HDAC6	endometrium 1
HDAC6	stomach 1
HDAC6	duodenum
HDAC6	endometrium 2
HDAC6	epididymis
HDAC6	endometrium 2
HDAC6	kidney
SNAP29	skeletal muscle
SNAP29	seminal vesicle
SNAP29	adrenal gland
SNAP29	skin 1
SNAP29	soft tissue 2
SNAP29	soft tissue 2
SNAP29	spleen
SNAP29	lung
SNAP29	duodenum
SNAP29	urinary bladder
SNAP29	vagina
SNAP29	appendix
SNAP29	lymph node
SNAP29	lymph node
SNAP29	appendix
SNAP29	soft tissue 2
SNAP29	soft tissue 2
SNAP29	caudate
SNAP29	caudate
SNAP29	cerebellum
SNAP29	cerebellum
SNAP29	skin 1
SNAP29	skin 1
SNAP29	skin 1
SNAP29	skin 2
SNAP29	bone marrow
SNAP29	breast
SNAP29	breast
SNAP29	breast
SNAP29	bronchus
SNAP29	colon
SNAP29	tonsil
SNAP29	liver
SNAP29	spleen
SNAP29	stomach 1
SNAP29	stomach 2
SNAP29	testis
SNAP29	testis
SNAP29	small intestine
SNAP29	smooth muscle
SNAP29	soft tissue 1
SNAP29	soft tissue 1
SNAP29	colon
SNAP29	tonsil
SNAP29	prostate
SNAP29	rectum
SNAP29	lung
SNAP29	endometrium 1
SNAP29	cerebellum
SNAP29	cerebral cortex
SNAP29	nasopharynx
SNAP29	oral mucosa
SNAP29	ovary
SNAP29	pancreas
SNAP29	pancreas
SNAP29	parathyroid gland
SNAP29	placenta
SNAP29	hippocampus
SNAP29	kidney
SNAP29	salivary gland
SNAP29	liver
SNAP29	cerebral cortex
SNAP29	endometrium 1
SNAP29	cerebral cortex
SNAP29	cerebral cortex
SNAP29	tonsil
SNAP29	cervix, uterine
SNAP29	cervix, uterine
SNAP29	colon
SNAP29	endometrium 2
SNAP29	heart muscle
SNAP29	hippocampus
SNAP29	kidney
SNAP29	thyroid gland
SNAP29	epididymis
SNAP29	esophagus
SNAP29	endometrium 2
SNAP29	gallbladder
SNAP29	fallopian tube
TOM1	cervix, uterine
TOM1	cerebral cortex
TOM1	gallbladder
TOM1	cerebellum
TOM1	cerebellum
TOM1	cerebellum
TOM1	cerebral cortex
TOM1	cerebral cortex
TOM1	cerebral cortex
TOM1	fallopian tube
TOM1	adrenal gland
TOM1	appendix
TOM1	appendix
TOM1	bone marrow
TOM1	breast
TOM1	bronchus
TOM1	caudate
TOM1	skeletal muscle
TOM1	skin 1
TOM1	skin 1
TOM1	skin 1
TOM1	lung
TOM1	seminal vesicle
